time,price
20160514,482
20160511,483
20160510,496
20160509,504
20160508,498
20160507,499
20160504,512
20160503,530
20160502,506
20160501,486
20160430,490
20160427,484
20160426,486
20160425,487
20160424,495
20160423,497
20160420,489
20160419,516
20160418,515
20160417,494
20160416,490
20160413,506
20160412,516
20160411,521
20160410,530
20160409,532
20160406,588
20160405,552
20160404,528
20160403,539
20160402,544
20160330,512
20160329,492
20160328,481
20160327,486
20160326,496
20160316,468
20160315,465
20160314,482
20160312,494
20160309,517
20160308,498
20160307,518
20160306,550
20160305,562
20160302,576
20160301,602
20160229,588
20160228,599
20160227,600
20160224,589
20160223,598
20160222,600
20160221,594
20160220,613
20160217,605
20160216,602
20160215,618
20160214,628
20160213,617
20160210,655
20160209,696
20160208,706
20160207,617
20160206,568
20160203,555
20160202,578
20160201,576
20160131,592
20160130,603
20160127,601
20160126,572
20160125,565
20160124,587
20160123,584
20160120,598
20160119,586
20160118,527
20160117,508
20160116,504
20160113,501
20160112,494
20160111,494
20160110,496
20160109,505
20160106,512
20160105,520
20160104,498
20160103,501
20160102,516
20151230,503
20151228,516
20151227,546
20151226,510
20151223,485
20151222,488
20151221,500
20151220,508
20151219,510
20151216,532
20151215,544
20151214,523
20151213,531
20151209,520
20151208,531
20151207,526
